creative_data_id,creative_data_title,creative_data_description,creative_data_duration,creative_data_lifetime_spend_estimated,creative_data_lifetime_airings_count,creative_data_airing_date_first_et,creative_data_airing_date_last_et,speech
2379465,30s Awards - 2379465,"Paul from Sprint says that wireless is full of ""awards."" Heavy on the quotation marks. He says he's not sure what they mean but he knows that Sprint guarantees 100 percent total satisfaction. Sprint invites you to switch to its service and get an unlimited plan and phone for $35 per month.",30,16204617.73,3661,2019-08-10T20:40:17-04:00,2019-09-09T02:56:18-04:00,"Wireless is full of awards. Number one in overall network performance, highest in wireless network quality performance, highest in wireless network quality performance in the North central region. It's hard to know what to think. That's why sprint's doing things differently and offering a new 100% total satisfaction guarantee. So you can try out the network, see the savings and decide for yourself. Switch to sprint and get both an unlimited plan and one of the newest phones included for just $35 a month."
3037506,30s Let's Step Forward - 3037506,LinkedIn says the world of work may have changed but progress toward making a difference in a child's life or finding a new job still looks the same. It looks like small steps and reaching out to those who might be able to help on its professional networking site.,30,11389482.37,3498,2020-10-24T21:18:35-04:00,2021-06-25T02:41:32-04:00,"The world of work may have changed. But progress still starts with small steps. Inequality from the conversations we have to the connections we make, it won't happen all at once. But together we'll find a way whether it's starting a new job or making a difference. When we turn to our communities, there's no telling what our next small steps could lead."
3149347,30s Bold [T1] - 3149347,A couple in a 2021 Toyota Sienna take the long way through the city so that everyone can see their Sienna. Toyota introduces the 2021 Sienna and lets you know that this vehicle is something everyone will want to see.,30,3310793.52,3397,2021-01-04T06:27:43-05:00,2021-05-17T00:39:34-04:00,"Babe. I thought we were headed uptown. Of course we are. You're driving downtown. I'm taking the scenic group for who, for everyone else. The All New Sienna Toyota. Let's go places."
3414303,30s Sidecar Groom - 3414303,"Cruising down the open road, this motorcyclist gives a spirited rendition of ""Build Me Up Buttercup"" by The Foundations, only to be rudely awakened from his daydream by none other than his own ""buttercup"" -- his just-wedded bride. Still clearly at the wedding event, his wife reassures that she still loves him despite his daydreaming tendencies... although she does want to make it clear that, at least for this motorcycle ride, she's driving. She then tears off her faux-skirt and climbs onto the bike, ""Just Married"" sign in tow, while her groom happily accepts his place in the sidecar.",30,3870261.76,3393,2021-06-28T07:44:56-04:00,2021-08-04T09:45:46-04:00,"Worst of all. You never call baby daydreaming again. But I love you still, you know, I'm driving right. I do. If you ride, you get it Geico motorcycle, 15 minutes could save you 15% or more."
1702594,30s The Pain Won't Last Long - 1702594,"A woman openly mourns for her damaged fender, caressing its unsightly wound day and night to the 1970s power ballad ""Love Hurts"" and disturbing her neighbors. Luckily, before things get worse, she receives a notification on her phone that her Esurance photo claim has been paid, motivating her to dust off her knees and go back in the house.",30,5496510.31,3312,2018-02-18T21:37:33-05:00,2018-04-30T02:25:29-04:00,"With Esurance photo claims you could have money for repairs within a day. Wow, that was really fast. So it doesn't have to hurt for long. That's insurance for the modern world Esurance, an Allstate company, click or call."
1471363,30s Add Stories [T1] - 1471363,"The new MINI Countryman is the largest yet, providing space for additions. These additions come in the form of connectivity, all-wheel drive and space for gear, leaving just enough room for a few more additions: friends and stories.",30,7863776.27,2788,2017-02-02T21:20:48-05:00,2018-07-09T08:50:58-04:00,"It's another pure gray morning. Don't know what the day is holding and I get up and walk right into the path of a, ok. The lightning."
3119347,30s Soul: Music Class - 3119347,"McDonald's is celebrating the release of Disney Pixar's ""Soul"" with limited-time Happy Meal toys. ""Soul"" is rated PG and hits Disney+ on December 25, 2020.",30,1434842.44,2622,2020-12-15T10:06:26-05:00,2021-01-11T23:47:15-05:00,"Come on guys. It's almost lunchtime Connie. Oh, come on. They were just hungry. Look, see, they were just hungry or born. Nothing strikes a chord like a mcdonald's Happy Meal with the goodness of milk and a toy from the movie Soul Disney and Pixar Soul Ready PG Streaming December on Disney Plus."
3078623,30s Holidays: Apple iPhone 12 on Us - 3078623,"T-Mobile is encouraging you to connect with your loved ones on its 5G network this holiday season. You can get an iPhone 12 on the wireless carrier when you switch, plus a savings of up to 20% off your old bill.",30,44110800.59,2590,2020-11-21T00:24:54-05:00,2021-01-09T00:21:01-05:00,"This holiday at T Mobile. It's not about how far apart we are. It's about how close we can be. So we're bringing out our best deal on the new iphone 12 with five G on every plan right now. Get the iphone 12 on us on every single plan switch now and save 20% on your bill versus the other guys. That's the best value in wireless. That's right. The iphone 12 on us on America's largest five G network and save 20% per month. It's time to holiday on, it's time for T Mobile."
2076630,30s Designer Dog Collar - 2076630,"A husky says that by giving her owner the look she was able to upgrade to a huge backyard and her own personal spa just by giving her the look. With Wells Fargo, the dog's owner was able to put down a three percent down payment and an online application.",30,9125821.15,2480,2019-01-21T14:36:30-05:00,2019-04-14T18:08:28-04:00,"Hey you the one with the designer dog collar. Wondering how I upgraded to the sleep pad, a 1200 square foot bathroom and my very own spa. All I had to do was give my human the look with Wells Fargo's 3% down payment on a fixed rate loan and a simpler online application. Getting into my dream home was easier than ever get your human to visit Wells Fargo dot com slash woof. What would she do without me?"
2002557,30s Emotional Support Animal - 2002557,"While on a flight, a woman glances over to find a man with a Blobfish in his lap. The man says that he's using the fish as an emotional support animal since he saw how bad his credit is. The woman suggests he uses Credit Karma to check his score and use its tips for ways to improve his credit.",30,3227906.76,2398,2018-12-03T11:18:59-05:00,2019-02-10T06:17:56-05:00,"What is that? My credit is terrible and it was ruining my self esteem. So I got an emotional support animal. This is Harold. Most people don't think wild fish when they think emotional support animal, most people are idiots. Ok. Well, a credit karma's free and it has tips on how you can improve your credit. So then I guess you're free. Is he ok? He'll be fine. He's at bottom Peter, check your free scores. Now at credit Karma, here's the progress."
1747914,"30s Two Stains, Four Seasons - 1747914","BEHR compares its Semi-Transparent Waterproofing Stain & Sealer to ordinary stains that claim to have the same protective properties. Unlike the other stains, BEHR is able to withstand UV rays, water damage and winter weather. BEHR invites customers to find its stain selections at The Home Depot.",30,4772963.07,2385,2018-04-30T04:24:41-04:00,2018-08-04T20:36:43-04:00,"Bear presents two stains, four seasons, ordinary stains say they can do the job but bear premium stain can weather any weather be premium, semi transparent stain and sealer. Overall. Number one rated weathers it all find our most advanced formula exclusively at the Home Depot."
1776082,30s How You See It - 1776082,"Arriving at a bar, one woman is intimidated by a wall that shows a large selection of alcohol. Behind her, Mila Kunis is sitting down where she tells her that she could let a wall like that intimidate her, or rely on some bourbon from Jim Beam that's in front of her. Listening to Mila's advice, the woman and her partner make the call and go for some bourbon. Looking back, the woman sees that Mila has suddenly vanished. Jim Beam's bourbon has apparently been making history since 1795 and invites you to make some of your own.",30,11956673.55,2139,2018-06-04T09:56:56-04:00,2018-12-31T03:50:09-05:00,"You could let a wall like that intimidate you or see the welcoming bourbon in front of you. See your call, Jim beam on the rocks. Make it too. No, the bourbon that's been making history since 17 95. Invites you to make some of your own."
3339840,30s Security At Your Fingertips Feels Good - 3339840,"When an array of JPMorgan Chase customers -- in the midst of different situations ranging from surprise parties to packing up at the gym -- run into various financial emergencies such as inexplicably large purchases or their card's mysterious absence from their bag, they are able to quickly achieve peace of mind through the Chase app's quick-and-efficient security measures including monitoring and locking.",30,2118742.89,2107,2021-05-10T17:18:14-04:00,2021-08-02T04:22:54-04:00,"Way I enough. No. Yeah. All now start with the, like how, you know, let's go, family check and lock down your money with security from Chase control. Feels good. Chase, make more of, what's yours?"
1678735,30s Trust Me - 1678735,"Joel McHale bangs up his muscle car after ramping a truck and then crashing to the pavement. He says he trusts Enterprise in situations like these because he can rent a car and be picked up by an employee. He can even use Enterprise to rent larger vehicles for commuting with costumed coworkers or rent a truck for a misguided project. Joel says ""Trust me, I'm an actor"" to cheekily reassure everyone that he's telling the truth.",30,17299916.62,1933,2018-01-15T07:07:18-05:00,2018-06-17T01:44:43-04:00,"My car is about to need some work, but enterprise is always there to help. I can rent a car and Enterprise picks me up. Hi, I can commute with my co workers or buy from enterprise car sales. I can even rent a truck for a project where I'm probably in over my head. Enterprise. Has you covered? Trust me. I'm an actor. How can enterprise pick you up today?"
1942611,30s Reliable Support - 1942611,"Tonya believes she knows what it's like to have reliable support and says she knows she has found the company that believes in her. Working in the Network Operation Center at Comcast, Tonya has gotten experience in monitoring the Comcast network to prevent problems and provide the most reliable service possible, and she is proud to work for a company who supports her future career.",30,3516945.91,1910,2018-10-29T04:57:31-04:00,2019-02-12T22:54:07-05:00,"I know what it means to have reliable support. I found the company who believes in me. They look out for me and they help me grow my career at Comcast is my job to constantly monitor our network, prevent problems and to help provide the most reliable service possible. My name is Tanya. I work in the Network Operations Center for Comcast. We're working to make things simple, easy and awesome."
3340369,30s Impatience Is a Virtue: We Got Now - 3340369,"As Jaden Smith works to make clean water a human right, he assures that impatience is a virtue. Star athletes Coco Gauff, Sadio Mane and Sydney McLaughlin embody this mantra with their work ethic and discipline for their sports. These athletes from around the world inspire younger athletes to improve through impatience and pursue their dreams. Whether you're providing water to underprivileged communities, leaping over hurdles at the Olympics or dominating on the tennis court, waiting isn't an option. New Balance says we got now.",30,3649688.39,1891,2021-05-10T13:36:51-04:00,2021-08-04T09:10:07-04:00,"Impatience is a virtue. And that Japanese phrases make way when you know what you want, waiting isn't an option. New balance we got now."
1930720,30s Joy [T1] - 1930720,"As a Cadillac XT4 cruises through the city, a group of women piles in and drives through the town while Jessie J's ""Bang Bang"" plays. The automaker wants to introduce you to its 2019 XT4, which is said to make driving joyful once again.",30,11114777.81,1796,2018-10-21T13:40:50-04:00,2019-02-28T23:55:20-05:00,"You do the unmistakable Cadillac XT four. Once again, driving is joyful, starting under $36,000."
1624211,30s Add It Up [T1] - 1624211,"Chevy's spokesperson lists off all the features of the 2018 Equinox, which includes Rear Seat Reminder, built-in Wi-Fi, Apple CarPlay compatibility and Teen Driver technology. For a visual comparison, Chevy stacks six competitors' SUVs on top of each other to show how many of these models you'd have to buy to get all the features available in the Chevy Equinox.",30,8919085.29,1646,2017-10-29T19:42:44-04:00,2018-01-26T21:31:00-05:00,"Hi guys. So this is the all new Chevy Equinox. It's gorgeous. It offers heated and ventilated front seats, heated, rear seats. A panoramic sunroof built in four G Lte Wi Fi Apple carplay compatibility surround vision, safety alert, seat and teen driver technology. All of that is in this one car. Yeah. And to get all these features you would have to buy all five of those crossroads. Whoa. Oh, and a Lexus NX. That's insane. Yep. All six of these. And you still wouldn't get everything that's in the sequin option. He's raising the bar six cars in what?"
1942695,30s NBA League Pass: Unstoppable - 1942695,"XFINITY describes one woman as an unstoppable force, who hasn't missed a single shot all season. That's because she's a profession basketball player... watcher. With NBA League Pass on XFINITY X1, the woman tracks all the scores and stats as a pro fan.",30,1114902.4,1642,2018-10-28T23:24:20-04:00,2018-11-25T23:55:57-05:00,"She's an unstoppable force, not a single missed shot all season. She's a professional basketball player. Watch her with NBA League pass. She gets up to 40 out of market games a week and with Xfinity X one, she can track all the scores and stats and even jump between close games. Become a pro fan only with Xfinity X one from Comcast order NBA League pass for a great low price call or go online today."
1733728,30s Switch to a New Chevy [T2] - 1733728,"Chevrolet claims that more and more people are purchasing its vehicles for the first time. The automaker believes trying something new can be powerful and exhilarating, and it encourages people to find out why its vehicles are the most awarded in the industry.",30,5776704.28,1641,2018-04-04T00:29:01-04:00,2018-05-01T05:42:07-04:00,"More and more people are finding themselves in a Chevrolet for the first time. Trying something new can be exciting, empowering, downright exhilarating. See for yourself. Why Chevrolet is the most awarded and fastest growing brand, the last four years overall switch into a new Chevy. Now, current competitive owners can get $5000 below MS RP on this 2018 Equinox when you finance with GM Financial, find new roads at your local Chevy dealer."
1768584,30s Create Your Own Lasagna - 1768584,"For a limited time, Olive Garden presents its Lasagna Mia for $12.99 with over 20 combinations. Customers can create their own lasagna with their choice of sauce and toppings. Olive Garden also invites you to order to go on its website.",30,5052947.21,1624,2018-05-28T09:19:37-04:00,2018-06-11T04:13:20-04:00,It's the very first create your own lasagna at Olive Garden starting at 12 99. Start with our baked to perfection. Four cheese lasagna. Then pick one of four sauces and finish with one of six mouthwatering toppings for more than 20 combinations plus unlimited salad and breadsticks. Good things come to those who create new lasagna Mia starting at 12 99 for a limited time only at Olive Garden. Order to go at Olive Garden dot com.
2327954,30s Reputation - 2327954,"Reconyx still believes in the old adage that you get what you pay for, which is why it says its cameras have earned their reputation of being one of the most dependable and longest lasting game cameras available. Reconyx says that thousands of its cameras made over 10 years ago are still in commission today, a fact that only strengthens its belief of getting what you pay for.",30,184588.91,1600,2019-07-01T14:06:44-04:00,2021-08-02T07:18:20-04:00,"Old adage, you get what you pay for. Still holds true today, Raonic Trail cameras have a well earned reputation of being the most dependable, longest lasting cameras available. Thousands of cameras we built over 10 years ago are still in use today. And if you ever do have a problem, you rest assured that we'll stand behind our products with world class service and support in the end. You really do get what you pay for. So why not invest in American made Game camera that will be there for you year after year, guaranteed recons, see what you've been missing."
2270982,30s Olympic Stains - 2270982,"As a man looks solemnly upon his deck that's in the midst of a torrential downpour, he decides its time to re-stain it. The Home Depot says that Olympic Stains are formulated to bring out the beauty of wood while protecting it against weather such as rain or snow.",30,837542.09,1600,2019-05-23T22:23:24-04:00,2019-08-12T03:33:48-04:00,Has your deck seen better days. Today is the day for doing with number one rated Olympic stain. Now exclusively at the Home Depot trusted for over 80 years. It's specially formulated to bring out the beauty in your wood while protecting it against the weather for years to come. Now get exclusive Olympic stay in starting at just 33 98 A can only from the Home Depot more saving more doing.
1991222,30s The Elbow - 1991222,"Helen Mirren thinks you need to give dry skin ""the elbow"" with L'Oreal Paris' Age Perfect Hydra-Nutrition Moisturizer. The company says its nourishing cream is enriched with honey extract to relieve dry skin. For extra dry skin, L'Oreal suggests its Age Perfect Hydra-Nutrition All-Over Honey Balm.",30,3199399.03,1470,2018-11-26T06:37:14-05:00,2018-12-17T05:59:34-05:00,"Give dry skin, the elbow, new age. Perfect hydran nutrition, moisturizer from l'oreal. An ultra nourishing cream enriched with manuka honey extract. Got it. Honey l'oreal's age. Perfect. Relieves dry skin and leaves it hydrated, toned and more elastic. It's about feeling comfortable in your skin. New age. Perfect hydran nutrition, moisturizer from l'oreal Paris and for extra dry skin. Discover age perfect all over honey balm because you're worth it."
1641167,30s Things That Can't Be Bought - 1641167,"Pillsbury believes that there are some things at home that can't be bought. You can't buy holiday traditions like baking biscuits together, putting the angel tree topper on a Christmas tree or taking a family photo. And, you certainly can't buy kindness or the memories built around a holiday dinner table. But, it appears that Pillsbury products like cinnamon rolls and crescents are always present in holiday memories like these and have become another tradition that is made at home.",30,5481136.37,1466,2017-11-21T17:09:08-05:00,2018-01-01T05:46:50-05:00,"In this home. We believe there are things that can't be bought. You can't buy time, you can't buy memories, the traditions. Alright. We, the rituals, you can't buy these things. You can't buy kindness. These are things that can't be bought because they're made at home."
2808275,30s Sleep Boxes - 2808275,"Mattress Firm claims when sleep seems impossible, its Rest Assured Promise checks all of the boxes, including contactless shopping, special financing and free delivery.",30,1756145.87,1462,2020-05-13T05:52:46-04:00,2020-06-24T09:36:19-04:00,"When good sleep seems impossible. Mattress firm's rest assured promise checks all the sleep boxes. America's best mattress brands, check a low price guarantee with special financing, check, free delivery to your door check, contactless shopping 24 7 with a sleep expert check a king size mattress for the price of a queen plus a free adjustable base check, a timeless jingle check. I am."
1696112,30s First-Ever: Night Ski [T1] - 1696112,"To honor its first-ever EcoSport, Ford gives others the chance to experience their very own first-evers. When a daughter expresses her desire to surprise her mom with a night ski trip, the automaker steps in to make it happen. After driving up a snowy mountain in a Ford EcoSport and preparing to ski, the mother and daughter share a special moment at the top of a slope and glide down a path lit with shining lights.",30,23965008.56,1350,2018-02-09T07:46:23-05:00,2018-03-19T03:43:16-04:00,"I've always wanted to share a special moment with my mom. I think, surprising her with the night ski trip would just be the biggest gift that I can give her. Let's make that happen. She's gonna be so excited. Right. And."
3291918,30s Like Never Before - 3291918,"As spring approaches, The Home Depot encourages gardeners alike to shop for lawn care products during its Spring Savings Event.",30,1369740.67,1324,2021-04-08T06:04:26-04:00,2021-04-19T03:26:17-04:00,"Let's bring on spring with the Home Depot Spring Savings event, whatever you're growing, grow more for less. Save on a new season of story and wake up some new spaces with low prices right now. This is saving and do it like never before the Spring savings event at the Home Depot. How doers get more done?"
3328522,30s The Little Things: Jonelle - 3328522,"Jonelle shares that she loves the grilled chicken in her Lemon Kale Caesar Salad. She says the warm chicken goes perfectly with the salad's parmesan bread crumbs, kale and fresh lemon wedges. You can get the Lemon Kale Caesar Salad at Chick-fil-A for a limited time.",30,3011762.81,1315,2021-05-01T15:48:44-04:00,2021-06-21T01:42:53-04:00,"Hey. Hey, my name is John now. And the little thing that I love about Chick Fil A's new lemon kale caesar salad is every tender warm juicy piece of grilled chicken. On top of that salad, it's a caesar salad, but it's different. You have the Parmesan bread crumbs and the mixture of lemon with that Roma and kale. It's almost something I can't explain, but it'll make you want to sing lemon CASS caesar. I'm blushing, please."
1710993,30s DIRECTV: Lots of This - 1710993,"DIRECTV customers are invited to switch to AT&T Wireless to save $15 per month for life on their DIRECTV bill. The AT&T Unlimited Plus Enhanced plan features all the talk, text and data you can handle and no overages.",30,1739782.42,1312,2018-03-02T19:46:40-05:00,2018-06-26T01:59:00-04:00,"Hey, DIRECTV, customer, you do lots of this, plenty of this and can't live without this. That's just your thing. But what about your other thing? You know, the saving money thing, we'll switch to AT&T wireless and get $15 off your direct TV bill for life. Plus all the talk, text and data you can handle with no overages ever. Because that's our thing. Switch to AT&T the nation's largest and most reliable network and get more for your thing."
2652509,30s Stampede - 2652509,"A man solemnly closes his truck's hood, shaking his head. It's broken beyond repair but he can't get a new one because of his credit score. He feels a rumble from below as the ground begins to shake. Is it an earthquake? No. It's a herd of stampeding cattle led by John Cena riding a cow. Cena whispers, ""Experian,"" and his mighty steed moos, ""Boost."" Together, they deliver the message to the man -- use Experian Boost to help boost your credit score and make the purchases you need.",30,835336.69,1295,2020-01-27T06:13:32-05:00,2020-02-23T20:48:26-05:00,"I wish I could buy a new truck experience. All right. Experience. Exper, now you can raise your credit scores instantly with Experian boost three only at experian dot com slash boost. A."
2513974,30s Black Friday Sale: Best Sale of the Season - 2513974,Mattress Firm announces its Black Friday Sale starts now with discounted mattresses. The store is also offering a free adjustable base with a qualifying purchase of $499 or more for a limited time.,30,761851.45,1281,2019-11-06T05:36:22-05:00,2019-11-25T03:39:11-05:00,Mattress firm's Black Friday sale starts now and it's the best time to save on beds for a limited time. Get a king mattress for the price of a queen and a queen for the price of a twin for savings of up to $600 store wide. Plus take home a free adjustable base. When you spend just 4 99 it's the best deal of the season. So hurry in and beat the crowds to find the bed of your dreams. Your budget stretches further at mattress firm.
3019128,30s Stories From Real Customers: Ryan and Ramsey: No-Contact Delivery - 3019128,HelloFresh sends one of its chefs to help a man learn how to cook from the comfort of his home. It invites you to save up to $80 across five boxes.,30,375615.01,1231,2020-10-13T17:04:16-04:00,2021-08-01T21:02:30-04:00,"Been friends for seven years. I am not that skilled in the world of cooking today. You are going to become a cook. So how do we do it? Let's just follow the directions. Not only do they give you the ingredients, tell you how to make it, but they portion everything out. It's taking out all the stress of it. Dude, this move. It kind of looks like, you know what you're doing. It's like a life pack. I can't believe we made it. It's really good every night cooking. That's a new. You go to hello fresh dot com and use code TV. 80 for $80 off across five boxes including free shipping on the first box."
1913310,30s Unruled: Chicken [T2] - 1913310,"Kia shows off a Forte drift car and a 2019 Forte as they both race down a track, heading straight toward each other. It's a high-speed game of chicken with Collete Davis behind the wheel of one of the vehicles. When the cars come to a stop just before crashing, Collete gets out of the 2019 model and pops open its smart trunk. Kia's pretty sure this feature is the only reason you can tell the two cars apart.",30,7547781.77,1203,2018-10-09T12:11:09-04:00,2018-11-19T00:41:51-05:00,"This is the not for sale Kia Forte Drift car with a blistering top speed and excessive amount of horsepower. And this is the totally redesigned 2019 Kia Forte, we built one of them with an available smart trunk, you know, so you could tell them apart right now. Lease the 2019 Forte LXS for 1 69 a month."
2821872,30s For Everyone - 2821872,"Coca-cola says that its beverage is for everyone, including graduates, teachers, and frontline workers. The beverage company believes that Coca-Cola is for this great nation, which is determined to be stronger on the other side.",30,2388377.5,1029,2020-05-16T15:28:13-04:00,2020-06-01T20:17:10-04:00,"For those living together and those living apart for classmates graduates and teachers making the best of it for the restaurants, delivering to our doorsteps for the front line workers, putting it on the line every single day for this great nation, determined to be stronger on the other side. Thanks to all of you. We'll be together again."
